chavetempo,data,dia,mes,ano,diasemana,trimestre
19123,2022-05-10,10,5,2022,2,2
19124,2022-05-11,11,5,2022,3,2
19155,2022-06-11,11,6,2022,6,2
19157,2022-06-13,13,6,2022,1,2
19185,2022-07-11,11,7,2022,1,3
19195,2022-07-21,21,7,2022,4,3
